CED_NAME21,OnlyEnglishSpokenHome,persons
Migratory - Offshore - Shipping (Tas.),FALSE,0
Migratory - Offshore - Shipping (Tas.),TRUE,11
Lingiari,FALSE,46293
Lingiari,TRUE,61412
Solomon,FALSE,29619
Solomon,TRUE,70784
No usual address (NT),FALSE,551
No usual address (NT),TRUE,1605
Migratory - Offshore - Shipping (NT),FALSE,11
Migratory - Offshore - Shipping (NT),TRUE,63
Bean,FALSE,30360
Bean,TRUE,116516
Canberra,FALSE,32031
Canberra,TRUE,105717
Fenner,FALSE,49988
Fenner,TRUE,102568
No usual address (ACT),FALSE,81
No usual address (ACT),TRUE,400
Migratory - Offshore - Shipping (ACT),FALSE,0
Migratory - Offshore - Shipping (ACT),TRUE,0
No usual address (OT),FALSE,5
No usual address (OT),TRUE,5
Migratory - Offshore - Shipping (OT),FALSE,0
Migratory - Offshore - Shipping (OT),TRUE,0
