StateAb,DivisionID,DivisionNm,FromCandidateID,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateID,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
NSW,108,Bradfield,36826,ALP,Labor,BRIGDEN,David Gordon,2,36047,IND,Independent,BOELE,Nicolette,1,12629,74.72
NSW,108,Bradfield,36826,ALP,Labor,BRIGDEN,David Gordon,2,37016,LP,Liberal,FLETCHER,Paul,6,4273,25.28
NSW,108,Bradfield,36362,GRN,The Greens,COUSINS,Martin,3,36047,IND,Independent,BOELE,Nicolette,1,7361,82.15
NSW,108,Bradfield,36362,GRN,The Greens,COUSINS,Martin,3,37016,LP,Liberal,FLETCHER,Paul,6,1599,17.85
NSW,108,Bradfield,36101,IND,Independent,KITSON,Janine,4,36047,IND,Independent,BOELE,Nicolette,1,2513,83.27
NSW,108,Bradfield,36101,IND,Independent,KITSON,Janine,4,37016,LP,Liberal,FLETCHER,Paul,6,505,16.73
NSW,108,Bradfield,36294,UAPP,United Australia Party,FLETCHER,Rob,5,36047,IND,Independent,BOELE,Nicolette,1,1012,40.54
NSW,108,Bradfield,36294,UAPP,United Australia Party,FLETCHER,Rob,5,37016,LP,Liberal,FLETCHER,Paul,6,1484,59.46
NSW,108,Bradfield,37563,ON,Pauline Hanson's One Nation,LOWE,Michael,7,36047,IND,Independent,BOELE,Nicolette,1,544,34.69
NSW,108,Bradfield,37563,ON,Pauline Hanson's One Nation,LOWE,Michael,7,37016,LP,Liberal,FLETCHER,Paul,6,1024,65.31
NSW,109,Calare,0,NA,NA,First Preferences,NA,0,35951,IND,Independent,HOOK,Kate,1,21891,29.97
NSW,109,Calare,0,NA,NA,First Preferences,NA,0,36348,NP,The Nationals,GEE,Andrew,5,51161,70.03
NSW,109,Calare,37543,ON,Pauline Hanson's One Nation,WHITTAKER,Stacey,2,35951,IND,Independent,HOOK,Kate,1,3909,43.16
NSW,109,Calare,37543,ON,Pauline Hanson's One Nation,WHITTAKER,Stacey,2,36348,NP,The Nationals,GEE,Andrew,5,5148,56.84
NSW,109,Calare,36320,GRN,The Greens,NANKERVIS,Kay,3,35951,IND,Independent,HOOK,Kate,1,3857,78.86
NSW,109,Calare,36320,GRN,The Greens,NANKERVIS,Kay,3,36348,NP,The Nationals,GEE,Andrew,5,1034,21.14
NSW,109,Calare,36799,ALP,Labor,ELLIOTT,Sarah,4,35951,IND,Independent,HOOK,Kate,1,11886,73.14
NSW,109,Calare,36799,ALP,Labor,ELLIOTT,Sarah,4,36348,NP,The Nationals,GEE,Andrew,5,4366,26.86
NSW,109,Calare,36263,UAPP,United Australia Party,JANNIS,Adam John,6,35951,IND,Independent,HOOK,Kate,1,1729,42.51
NSW,109,Calare,36263,UAPP,United Australia Party,JANNIS,Adam John,6,36348,NP,The Nationals,GEE,Andrew,5,2338,57.49
NSW,111,Chifley,0,NA,NA,First Preferences,NA,0,36788,ALP,Labor,HUSIC,Ed,7,51236,68.06
NSW,111,Chifley,0,NA,NA,First Preferences,NA,0,37045,LP,Liberal,SINGH,Jugandeep,6,24046,31.94
NSW,111,Chifley,37555,ON,Pauline Hanson's One Nation,BATISH,Amit,1,36788,ALP,Labor,HUSIC,Ed,7,2041,33.82
NSW,111,Chifley,37555,ON,Pauline Hanson's One Nation,BATISH,Amit,1,37045,LP,Liberal,SINGH,Jugandeep,6,3993,66.18
NSW,111,Chifley,37041,UAPP,United Australia Party,RASKOV,Zvetanka,2,36788,ALP,Labor,HUSIC,Ed,7,2197,42.67
NSW,111,Chifley,37041,UAPP,United Australia Party,RASKOV,Zvetanka,2,37045,LP,Liberal,SINGH,Jugandeep,6,2952,57.33
NSW,111,Chifley,24190,IND,Independent,KHAN,Ammar,3,36788,ALP,Labor,HUSIC,Ed,7,920,50.03
NSW,111,Chifley,24190,IND,Independent,KHAN,Ammar,3,37045,LP,Liberal,SINGH,Jugandeep,6,919,49.97
NSW,111,Chifley,36667,LDP,Liberal Democrats,ROUGHLEY,Ben,4,36788,ALP,Labor,HUSIC,Ed,7,936,28.69
NSW,111,Chifley,36667,LDP,Liberal Democrats,ROUGHLEY,Ben,4,37045,LP,Liberal,SINGH,Jugandeep,6,2327,71.31
NSW,111,Chifley,36329,GRN,The Greens,SELVENTHIRAN,Sujan,5,36788,ALP,Labor,HUSIC,Ed,7,4352,77.41
NSW,111,Chifley,36329,GRN,The Greens,SELVENTHIRAN,Sujan,5,37045,LP,Liberal,SINGH,Jugandeep,6,1270,22.59
NSW,112,Cook,0,NA,NA,First Preferences,NA,0,36784,ALP,Labor,EARLE,Simon,5,24444,31.03
NSW,112,Cook,0,NA,NA,First Preferences,NA,0,37025,LP,Liberal,MORRISON,Scott,3,54322,68.97
NSW,112,Cook,37731,ON,Pauline Hanson's One Nation,CAMERON,Gaye,1,36784,ALP,Labor,EARLE,Simon,5,2172,43.57
NSW,112,Cook,37731,ON,Pauline Hanson's One Nation,CAMERON,Gaye,1,37025,LP,Liberal,MORRISON,Scott,3,2813,56.43
NSW,112,Cook,36301,GRN,The Greens,DYSON,Catherine,2,36784,ALP,Labor,EARLE,Simon,5,7963,82.22
NSW,112,Cook,36301,GRN,The Greens,DYSON,Catherine,2,37025,LP,Liberal,MORRISON,Scott,3,1722,17.78
NSW,112,Cook,36694,UAPP,United Australia Party,GUINANE,Jacqueline,4,36784,ALP,Labor,EARLE,Simon,5,2158,49.26
NSW,112,Cook,36694,UAPP,United Australia Party,GUINANE,Jacqueline,4,37025,LP,Liberal,MORRISON,Scott,3,2223,50.74
NSW,113,Cowper,0,NA,NA,First Preferences,NA,0,36245,IND,Independent,HEISE,Caz,4,29206,39.95
NSW,113,Cowper,0,NA,NA,First Preferences,NA,0,36342,NP,The Nationals,CONAGHAN,Pat,3,43909,60.05
