SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21(d)
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,"UK, CIs & IOM(e)",3850,4660,4880,4960,4870,4120,4950,5590,4390,2420,2360,2460,3000,2630,2190,2300,-1530
2201,Ireland,270,260,390,610,970,650,1530,1990,790,-360,-510,-160,170,430,640,470,-550
2301,Austria,40,40,20,20,50,-10,30,20,30,30,20,0,30,10,-10,20,-30
2302,Belgium,40,30,40,70,40,30,50,90,70,60,50,50,80,60,50,90,-70
2303,France,200,240,320,320,420,390,530,540,480,420,600,480,440,410,280,530,-710
2304,Germany,360,360,520,580,290,420,380,340,290,80,330,330,440,210,-10,340,-450
2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,Luxembourg,0,0,0,0,0,0,10,0,10,0,0,0,10,0,10,0,0
2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,Netherlands,150,280,190,180,160,100,150,160,160,100,110,100,160,160,110,100,-170
2311,Switzerland,50,60,70,60,60,50,70,70,30,0,80,40,60,0,0,30,-40
2401,Denmark,50,0,40,10,50,20,20,30,50,-10,20,30,50,20,50,10,-70
2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,Finland,30,20,30,30,30,50,30,50,50,50,70,-20,50,20,10,-20,-30
2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,Iceland,0,0,0,10,0,10,-10,0,10,10,10,0,0,-10,0,0,0
2406,Norway,-10,-30,0,50,10,10,10,10,10,30,-10,30,-10,40,-20,0,-40
2407,Sweden,60,90,90,40,90,80,80,90,100,100,70,50,30,20,-20,-10,-70
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,Gibraltar,10,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,Italy,180,190,210,220,310,220,430,760,1240,1100,570,560,350,200,10,260,-510
3105,Malta,70,60,60,60,10,20,40,30,0,-30,-10,0,-10,-10,0,20,-20
3106,Portugal,20,30,20,30,50,20,40,50,90,40,50,40,70,0,-10,40,-20
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108,Spain,40,30,80,50,70,80,120,250,250,150,90,100,120,140,160,160,-190
3201,Albania,90,100,80,80,100,70,40,80,90,140,90,90,80,80,20,60,-40
