CED_NAME21,Religion,Denomination,Sex,persons
Blaxland,Buddhism,NA,F,8014
Blaxland,Buddhism,NA,M,6659
Blaxland,Christianity,NA,F,2166
Blaxland,Christianity,NA,M,2066
Blaxland,Christianity,(Other),F,74
Blaxland,Christianity,(Other),M,87
Blaxland,Christianity,Anglican,F,2927
Blaxland,Christianity,Anglican,M,2537
Blaxland,Christianity,Assyrian Apostolic,F,28
Blaxland,Christianity,Assyrian Apostolic,M,36
Blaxland,Christianity,Baptist,F,939
Blaxland,Christianity,Baptist,M,831
Blaxland,Christianity,Brethren,F,13
Blaxland,Christianity,Brethren,M,8
Blaxland,Christianity,Catholic,F,16488
Blaxland,Christianity,Catholic,M,15544
Blaxland,Christianity,Churches Of Christ,F,41
Blaxland,Christianity,Churches Of Christ,M,30
Blaxland,Christianity,Eastern Orthodox,F,3997
Blaxland,Christianity,Eastern Orthodox,M,3868
Blaxland,Christianity,Jehovah's Witnesses,F,186
Blaxland,Christianity,Jehovah's Witnesses,M,130
Blaxland,Christianity,Latter Day Saints,F,199
Blaxland,Christianity,Latter Day Saints,M,194
Blaxland,Christianity,Lutheran,F,84
Blaxland,Christianity,Lutheran,M,67
Blaxland,Christianity,Oriental Orthodox,F,421
Blaxland,Christianity,Oriental Orthodox,M,394
Blaxland,Christianity,Pentecostal,F,573
Blaxland,Christianity,Pentecostal,M,450
Blaxland,Christianity,Presbyterian Reformed,F,874
Blaxland,Christianity,Presbyterian Reformed,M,787
Blaxland,Christianity,Protestant (Other),F,361
Blaxland,Christianity,Protestant (Other),M,335
Blaxland,Christianity,Salvation Army,F,70
Blaxland,Christianity,Salvation Army,M,47
Blaxland,Christianity,Seventh Day Adventist,F,143
Blaxland,Christianity,Seventh Day Adventist,M,133
Blaxland,Christianity,Uniting Church,F,893
Blaxland,Christianity,Uniting Church,M,820
Blaxland,Hinduism,NA,F,3303
Blaxland,Hinduism,NA,M,4255
Blaxland,Islam,NA,F,28626
Blaxland,Islam,NA,M,31074
Blaxland,Judaism,NA,F,24
Blaxland,Judaism,NA,M,21
Blaxland,No religion,NA,F,12614
Blaxland,No religion,NA,M,15815
Bradfield,(Other),NA,F,4139
Bradfield,(Other),NA,M,3833
Bradfield,(Other),(Other),F,443
Bradfield,(Other),(Other),M,388
Bradfield,(Other),Australian Aboriginal Traditional,F,0
Bradfield,(Other),Australian Aboriginal Traditional,M,0
Bradfield,(Other),Other spiritual beliefs,F,139
Bradfield,(Other),Other spiritual beliefs,M,76
Bradfield,(Other),Secular beliefs,F,246
Bradfield,(Other),Secular beliefs,M,284
Bradfield,(Other),Sikhism,F,393
Bradfield,(Other),Sikhism,M,437
Bradfield,Buddhism,NA,F,3601
Bradfield,Buddhism,NA,M,2345
Bradfield,Christianity,NA,F,2094
Bradfield,Christianity,NA,M,1689
Bradfield,Christianity,(Other),F,69
Bradfield,Christianity,(Other),M,60
Bradfield,Christianity,Anglican,F,12126
Bradfield,Christianity,Anglican,M,10277
Bradfield,Christianity,Assyrian Apostolic,F,10
Bradfield,Christianity,Assyrian Apostolic,M,9
Bradfield,Christianity,Baptist,F,1222
Bradfield,Christianity,Baptist,M,914
Bradfield,Christianity,Brethren,F,0
Bradfield,Christianity,Brethren,M,6
Bradfield,Christianity,Catholic,F,15084
Bradfield,Christianity,Catholic,M,13223
Bradfield,Christianity,Churches Of Christ,F,61
Bradfield,Christianity,Churches Of Christ,M,73
Bradfield,Christianity,Eastern Orthodox,F,846
Bradfield,Christianity,Eastern Orthodox,M,796
Bradfield,Christianity,Jehovah's Witnesses,F,84
Bradfield,Christianity,Jehovah's Witnesses,M,54
Bradfield,Christianity,Latter Day Saints,F,60
Bradfield,Christianity,Latter Day Saints,M,54
Bradfield,Christianity,Lutheran,F,234
Bradfield,Christianity,Lutheran,M,159
Bradfield,Christianity,Oriental Orthodox,F,272
Bradfield,Christianity,Oriental Orthodox,M,276
Bradfield,Christianity,Pentecostal,F,660
Bradfield,Christianity,Pentecostal,M,542
Bradfield,Christianity,Presbyterian Reformed,F,2145
Bradfield,Christianity,Presbyterian Reformed,M,1879
Bradfield,Christianity,Protestant (Other),F,430
Bradfield,Christianity,Protestant (Other),M,365
Bradfield,Christianity,Salvation Army,F,43
Bradfield,Christianity,Salvation Army,M,42
Bradfield,Christianity,Seventh Day Adventist,F,315
Bradfield,Christianity,Seventh Day Adventist,M,239
Bradfield,Christianity,Uniting Church,F,3191
Bradfield,Christianity,Uniting Church,M,2319
Bradfield,Hinduism,NA,F,3635
Bradfield,Hinduism,NA,M,3693
Bradfield,Islam,NA,F,1130
Bradfield,Islam,NA,M,1132
Bradfield,Judaism,NA,F,1594
Bradfield,Judaism,NA,M,1587
Bradfield,No religion,NA,F,33252
Bradfield,No religion,NA,M,34905
Calare,(Other),NA,F,6401
Calare,(Other),NA,M,8866
Calare,(Other),(Other),F,317
Calare,(Other),(Other),M,206
Calare,(Other),Australian Aboriginal Traditional,F,29
Calare,(Other),Australian Aboriginal Traditional,M,23
Calare,(Other),Other spiritual beliefs,F,128
Calare,(Other),Other spiritual beliefs,M,65
Calare,(Other),Secular beliefs,F,193
Calare,(Other),Secular beliefs,M,247
Calare,(Other),Sikhism,F,181
Calare,(Other),Sikhism,M,193
Calare,Buddhism,NA,F,635
Calare,Buddhism,NA,M,438
Calare,Christianity,NA,F,1662
Calare,Christianity,NA,M,1546
Calare,Christianity,(Other),F,49
Calare,Christianity,(Other),M,37
Calare,Christianity,Anglican,F,15969
Calare,Christianity,Anglican,M,14041
Calare,Christianity,Assyrian Apostolic,F,0
Calare,Christianity,Assyrian Apostolic,M,0
Calare,Christianity,Baptist,F,1144
Calare,Christianity,Baptist,M,1010
Calare,Christianity,Brethren,F,338
Calare,Christianity,Brethren,M,330
Calare,Christianity,Catholic,F,22314
Calare,Christianity,Catholic,M,20619
Calare,Christianity,Churches Of Christ,F,46
Calare,Christianity,Churches Of Christ,M,33
Calare,Christianity,Eastern Orthodox,F,271
Calare,Christianity,Eastern Orthodox,M,298
Calare,Christianity,Jehovah's Witnesses,F,252
Calare,Christianity,Jehovah's Witnesses,M,209
Calare,Christianity,Latter Day Saints,F,79
Calare,Christianity,Latter Day Saints,M,75
Calare,Christianity,Lutheran,F,151
Calare,Christianity,Lutheran,M,135
Calare,Christianity,Oriental Orthodox,F,23
Calare,Christianity,Oriental Orthodox,M,25
Calare,Christianity,Pentecostal,F,775
Calare,Christianity,Pentecostal,M,627
Calare,Christianity,Presbyterian Reformed,F,2423
Calare,Christianity,Presbyterian Reformed,M,2186
Calare,Christianity,Protestant (Other),F,449
Calare,Christianity,Protestant (Other),M,408
Calare,Christianity,Salvation Army,F,189
Calare,Christianity,Salvation Army,M,136
Calare,Christianity,Seventh Day Adventist,F,184
Calare,Christianity,Seventh Day Adventist,M,155
Calare,Christianity,Uniting Church,F,3729
Calare,Christianity,Uniting Church,M,3080
Calare,Hinduism,NA,F,570
Calare,Hinduism,NA,M,627
Calare,Islam,NA,F,345
Calare,Islam,NA,M,430
