DivisionNm,Year,StateAb,Metro_Area,Metro,cluster,Australian_Citizens,Age_Baby_Boomers,Age_Gen_X,Age_Gen_Y,Age_Gen_Z,Age_Silent_Gen,Language_Arabic,Language_Chinese,Language_East_Asian,Language_English_Only,Language_European,Language_Greek,Language_Indigenous,Language_Indonesian,Language_Italian,Language_Pacific,Language_Philippinnes,Language_South_Asian,Language_Western_Asian,Religion_Anglican_Uniting_Presbyterian,Religion_Buddhism,Religion_Catholic,Religion_Christian_Orthodox,Religion_Hinduism,Religion_Islam,Religion_No_Religion_Secular,Religion_Other_Christianity,Income_1_to_999,Income_1000_to_1999,Income_2000_or_more,Income_Negative,Income_Not_Stated,Household_Flat,Household_Other,Household_Owned_outright,Household_Owned_with_a_mortgage,Household_Rented,Household_Social_or_community,Household_Standalone,Household_Tenure_other_or_not_stated,Household_Semi_detached,Education_Bachelor,Education_Diploma_or_Certificate,Education_Graduate_Diploma_or_Certificate,Education_Not_Stated,Education_Postgraduate,Relationship_Child_under_15,Relationship_De_Facto,Relationship_Group_Household,Relationship_Living_Alone,Relationship_Married,Relationship_Non_dependent_Child,Relationship_Other_Relationship,Relationship_Single_Parent,Relationship_Unrelated_in_family_household
Pearce,2021,WA,Greater Perth,1,2,-0.6316693582395629,-4.501634830009531,1.3096363521250254,1.3909121588059676,2.0711846001713816,-0.7671210709309881,-0.27947065556149187,-2.0224566911980446,0.21217598873756116,4.819994935128491,1.8446243964020534,-0.6257597945041505,0.034169937216704506,-0.04771762581842709,-0.42838986731753936,-0.2719215732956404,0.10499950630141808,-1.8195252954846102,-0.3611893804112243,NA,-0.590575916210037,-1.6003237638647896,-0.7877243454882776,0.045526520014206096,-1.3379766720721626,NA,1.3542611295088154,-3.9017971261350937,1.6763897051920793,2.0984849370952983,0.5696701427570332,-0.38353079370527254,-3.7949219102887906,-0.11416453959489609,-10.511660965849348,14.335846632092462,-2.574771977623236,-1.217246980904222,9.966405507153908,0.11112842790855737,-6.071576954914719,-3.695320148509854,7.971980573898001,-0.8467165194715167,-0.13719404104793398,-3.536108149507583,3.160443775639205,0.8360225811853343,-0.9392488619363482,-1.9062696746124335,-0.9725160694664794,NA,-0.3432607004362298,0.0712308601404068,-0.29202959743888157
Moore,2021,WA,Greater Perth,1,2,3.9028575141323216,3.788464725392707,1.741613655630669,-4.280930939978713,0.4022438276858118,-0.028750210912615426,-0.755677160019208,-1.7541325121976892,-1.2197572160450094,13.259846160519842,1.0454832579502225,-0.56545829836713,-0.021099152585753213,-0.04169804367886984,-0.3010966489418835,-0.29217727426200896,-0.7097235860447009,-4.266019621580811,-0.32121692008502123,NA,-1.262572541240717,2.055803616129584,-0.9872563657130504,-1.8386263571559447,-2.712879003923885,NA,-1.5070989417220986,-5.071489410444819,-0.35431405798924587,7.868743843473206,-0.6990827639670076,-1.634600876192704,-1.3712322454230819,-0.1068755152080117,6.595501995333457,3.3327926142469195,-7.042227512894852,-1.9144423779619113,4.050980443944084,-0.9944641400963656,-2.692541683121897,4.341964293481087,-2.0651187074829664,0.9013613011687585,-2.8959847998145056,-0.43016408967204,-0.6269371437668134,-0.8591004337895294,-0.6378087976691231,-1.4540559385164507,5.898536870179939,NA,-0.976725934088533,-1.1072534651580916,-0.5123711915971056
Hasluck,2021,WA,Greater Perth,1,2,0.16341261991918543,-1.343572924580382,0.5188142684840145,0.80581089978104,0.14956939940930525,-0.3039805487808773,-0.39860215616680017,-2.3386489438475544,-0.560667300458124,4.310315212659617,-0.20322074766680842,-0.6767851794692412,0.09192244919972986,-0.04107559323281712,-0.18642814715213574,-0.27549146768088156,0.9063076286922698,-1.0184219275274131,-0.5077821088015222,NA,-0.840530330617117,-0.9102785236490085,-1.3992173146073112,-0.1804665234662921,-1.358934662619272,NA,0.4841165918374024,-4.73096219061658,0.7980242329254708,2.517115403271383,-0.025560781029639656,1.4583632226632703,-2.71158759785753,0.08063036015700242,-3.0565872993049865,10.634447645112004,-5.973292006709411,-0.6486195536525825,7.052669506656514,-0.9053042750367215,-4.44773846910928,-3.168532147135725,5.343924611590239,-0.2906172271928682,0.4539846242154191,-2.5797976241823672,1.5115555143513113,0.8049620506987303,-0.5694342009434499,-0.5831115305138406,-0.052102793944222014,NA,-0.09853487534624339,-0.29868231895291686,-0.17331242692745907
Fremantle,2021,WA,Greater Perth,1,2,0.5290451606624629,-0.7150534880814163,0.9509335275140849,2.2991602866155425,-1.5982326519107133,-0.32751149866579654,-0.8284917697512216,-0.5649437773263539,-0.7475675511873727,3.440614903668987,2.860805869071179,-0.6700004578382317,0.012144385412246966,0.2430429989215903,1.2964187149623232,-0.28690331785111595,0.571154254734608,-3.1784018954160222,-0.3023824165220851,NA,-0.6465489247330036,5.5137411044578215,-1.1175073474521735,-1.3054618327981014,-2.340165248644335,NA,-2.6336715486120656,-5.604578921481426,1.2027995579472375,5.772693307978075,-1.1641235470578604,0.015012616547214641,4.774409316650463,0.2642919544557589,-1.6829528981708286,1.0108384924433125,0.33519347092816076,1.2072143371993138,-8.550073609499108,-0.649086890337399,3.688562119295705,4.10630680737005,-5.599882796080067,0.6461948384153602,-0.33029383813431856,1.044272731922531,-1.1401976905554605,2.349591207291093,1.041978440765686,2.2094213081982463,-2.1071865621251504,NA,-0.46826719880462453,-0.27903195306951734,-0.16527880658019922
Durack,2021,WA,Non Metropolitan,0,0,-0.508953058792315,2.0577366647473347,1.1064981654759904,-2.7758303445542545,-0.777102492951574,-0.20960396146396132,-2.5934843250583772,-6.807101205025842,-3.168333123945242,14.777733141167296,-2.3868772928065245,-1.520838033792435,3.0779744561137434,-0.30955512319479883,-0.9992313351507589,-0.16950255462721606,-0.09318984024325361,-5.4100708626667116,-0.6875865049795554,NA,-2.8616184321634965,-3.712064234825853,-3.1509320787110733,-3.736974446285216,-3.975059085175588,NA,1.0493773429241848,-2.7525364106975942,-2.9730755110555087,-0.8306231262177324,-2.701613478918212,9.164560869406841,-27.18116472082769,3.0665575766892053,-0.9970368606997937,-4.358082609231914,-5.161671344254636,6.138253845638149,30.966325431634232,4.096779394566054,-6.988747910920072,-19.781017256799352,17.098452320512067,-1.7333447427259427,16.430162712807224,-12.060737596119793,4.003717537062503,3.8299407483664734,-2.629764102187513,0.30129541859627196,-3.9079664161327585,NA,0.08539294984377799,0.5068661793039722,-0.4527539778994123
Curtin,2021,WA,Greater Perth,1,0,4.663689508506394,1.916672304702427,0.4149234939341895,-4.612011720750164,0.7737075972810317,0.7038526454571823,-2.4072089789136384,-3.3551244107612592,-2.909115077080207,18.86769539520882,0.0215627891145993,-1.2638965098729469,-0.541541327196315,-0.10422602773286654,-0.20580270949313184,-0.19101763754849854,-0.937348096314597,-4.333628291160059,-0.2917185273960185,NA,-1.2635947371963856,-1.4907841911155835,-1.8732683050038779,-2.590654815557941,-3.8161252821541156,NA,-1.4521697403873448,-4.456888956912465,-2.415583813486638,9.353919812121273,-1.0316171433037002,-1.1707417849410042,-10.78206508991023,-0.5577090619142051,7.42797631082923,-0.011358618612657523,-5.751899765408325,-1.4511328926784244,4.289037305406318,0.11256082400023848,7.173510138619987,6.7807340992818155,-8.037743835899438,1.588718609997172,-2.497421673005732,2.148574433251426,0.3625711785297412,-0.22864528659557593,-0.9603485902778539,1.7211936481669703,2.639149101750867,NA,-1.2096603306333944,-0.6791011807395928,-0.8478354708684884
Cowan,2021,WA,Greater Perth,1,2,-2.5301769907944305,0.39296685453367886,-0.8210962860643463,1.9460323638871984,-1.0423501286908063,0.021830179860078847,0.9446477845649917,0.5773416463462082,4.747433469037508,-13.037191673777983,2.3640337025888774,-0.19730960427988564,0.011902254379033105,0.08306350112628744,1.6132040444228393,-0.2734624745316614,0.15379494672571137,-1.2665262911923367,0.10938045397797957,NA,2.761261072864313,4.687859853472723,1.467427876961771,-0.28419433355379464,2.952182756762947,NA,0.32884616640744113,2.268131513366008,-0.8426429671849114,-1.7936077017108776,0.44108976010948986,-0.015850756567403756,-3.073617774299292,-0.40637351571851965,0.9318307187851715,-2.378858746368799,0.4266429878511744,1.7430028805074058,-4.749272805139498,-0.41147347236466736,8.292719409224814,0.167740572397566,0.11138054920698437,-0.605804602092443,1.6335025169363924,-1.541192313061969,-1.6344806031253327,-0.9067518561902039,0.7439452654649297,1.5627313508192042,-1.5051080148380862,NA,0.601733163107506,0.47670474341272495,0.13215824313327396
Canning,2021,WA,Greater Perth,1,2,1.723674853442148,4.315759498661155,-0.9108442945661999,-3.5938481906913786,-1.2629652109168354,0.8908079791178438,-1.0135418670125484,-2.742847827902802,-1.3656180390226282,13.815714230928293,-1.0515797069428021,-0.703669786858889,0.05708378543389394,-0.04982263044538837,-0.5760707795792166,-0.2825775144878548,-0.2123226991914462,-4.0131477408037295,-0.5722826157329051,NA,-1.3943847030668832,-4.0793206576918735,-1.77048201099102,-2.000196817237769,-3.0197028890055155,NA,-0.4311002430504267,1.6645114481506482,-4.883903750814749,1.947398244755794,-0.017491596351870697,1.4809036000262896,-2.443399517478621,0.8882340573533828,2.4529154366570083,1.0683611804182789,-3.8845064408383614,-0.770589250084103,4.9990102629331545,1.2693994545890797,-3.5060536317879496,-9.620352949479374,11.844744635042481,-1.191835053155947,3.8275038884917194,-5.351022154667392,-0.14054035935145848,1.4404728942044294,-0.5990979122479314,1.4064721141860126,0.4185379669608764,NA,-0.500392925406155,-0.09746827641332878,-0.2714246305561384
Burt,2021,WA,Greater Perth,1,2,-5.131188785067337,-3.477299359410951,-0.8795402025882311,3.300770775513776,0.5306859972955671,-0.6539418058986213,0.16931567942233094,0.9856835854712163,0.34557603278091364,-9.43863141350596,-0.9788334421471883,-0.705904319334664,0.09348490839313031,0.8630975405195799,-0.5311098298983914,-0.22827504771514856,1.7363725250198045,4.083182837476668,-0.10397467695199902,NA,0.6273831309788216,-3.003533646409327,-1.704564253110093,1.7018829966509292,4.410736536129822,NA,2.6504669501502303,-0.4135696925599035,0.2491584492350043,-2.1989882831386502,1.783497930238319,0.5213983974480465,-2.8241047323208077,-0.005459606771540504,-7.067640637757002,6.990539747655404,0.1500101585415763,0.11904396186503474,5.289429985166777,-0.0688251265630524,-2.3857393095321076,-2.871340803749174,2.905416674898568,-1.3502452230974815,2.356399441788435,-1.4432993192322323,2.723196160077979,-0.6684532513963317,0.20878156704401984,-0.05465082930715148,-2.5342760325890197,NA,0.5554136635259042,0.25898692182452443,0.17879429203887542
Brand,2021,WA,Greater Perth,1,2,-2.1340436777857974,-2.8272559816172134,0.05076768124261477,1.5175383604595183,1.243459521043203,-0.45307420084171124,-0.8984404672393989,-2.5016670279949516,-0.9739735900282558,9.041106910477453,-0.19165421422541096,-0.717357796395629,0.041785389799415824,0.026394964004405247,-0.7024749472830722,-0.22684525602193378,0.9276628690895583,-3.1839522945427583,-0.5759385995707095,NA,-1.2295693734653457,-3.6096831319928437,-1.5358212867854113,-1.4771390117992573,-2.674974213080019,NA,-0.050437482482104556,-3.007100620426698,-0.8180438198608329,1.6511503590596313,0.48569248374332474,1.7011335766902036,-0.9270302928769785,0.06950490904588152,-7.2196424569702025,7.314069417169108,0.6488647700603707,-0.421080040758806,7.8511559064279055,-0.7507817132157393,-6.903730691239582,-8.612452675165464,11.862693724415301,-1.2863111507077152,2.740794898796649,-4.849359173638736,2.7844357248997156,1.907190997176695,-0.2939844242086602,0.4806491575949803,-3.896612089148455,NA,-0.2091161010993936,0.5345898409018632,-0.19849905064093532
Wills,2021,VIC,Greater Melbourne,1,0,1.804031758395496,-3.1744101614037064,-0.8436301163660644,6.05819085108817,-2.4918716464690043,-0.32386724256293076,1.9994868961669487,-5.027143854364448,-2.586968032436121,0.0653211279531618,-0.8157330164768393,2.506011114708933,-0.5657375873159963,-0.21105923215320316,4.788821208455611,-0.14743327656619948,-0.6017529803968769,1.1981355515280097,1.4090716913478918,NA,-1.7519137496715713,2.0803271692350904,2.786582096373749,-0.5308205361839335,5.427723507458625,NA,-3.4196605585665845,2.5231589825610925,1.7057315391889922,-1.7604332125955349,-1.4732450570605575,-0.8962030246587274,-12.276620746470972,-0.18567192490025697,1.5171619771162135,-0.8011875980684948,2.1362871034763558,-2.2480233447317746,0.11135402793607341,-0.5979240513702879,12.191071228675016,1.9991180929638546,-4.255213034923457,1.7544678667422886,-1.7849240081171587,2.388292533754889,-1.9625133194744837,3.0457051591689854,3.6357019434939666,1.8911245878144065,-4.892167231797647,NA,-0.2431289382356443,-0.28862339833333195,0.17717643452423837
Wannon,2021,VIC,Non Metropolitan,0,1,0.8518682911888078,2.601552061936278,0.21164746321475292,-1.4449595400345316,-1.2726734358141272,0.1756327808390501,-0.07514279420486182,0.011605615552558901,-0.16648737465698682,2.510925445753699,-0.6452588894926434,-0.03940607457807116,-0.18648729567532482,0.007905789070051676,-0.23043797205544397,0.008099036764837239,-0.1276501539858162,-0.5671283569708025,-0.0610999780855484,NA,-0.24616161306019002,1.6527498833181582,-0.23924859738552015,-0.31839332758849265,-0.3650187517232843,NA,-1.436034667718583,1.4775331181384814,0.41394680296951236,-1.508424904930858,-0.6271710701420874,0.3080409629464107,-3.3406967049203455,-0.4289629809012683,6.61119001466605,-1.3093860829585502,-5.045423150225364,-0.7201203343330436,6.847458038498047,0.7667773857904359,-3.0140176253204976,0.13525293729599852,-0.8647678081615595,0.7357800751172787,0.6555073230476864,-0.19194195479227982,-1.2608084086303109,0.08554708222784413,-0.3454466405076526,1.7698523541415625,1.121739786598205,NA,-0.4089273194096932,-0.5285695942520539,-0.3006883210474327
Scullin,2021,VIC,Greater Melbourne,1,2,-3.3872294696917606,-2.3420218073083916,-0.5205237948848414,3.4839300350435813,-0.2771039841994245,-0.4366378705514713,5.295659738477955,0.8458623247797168,1.7449970551409841,-28.92517472066561,4.699942540700155,3.1288357937816205,-0.03247250674068371,0.049088600547962075,3.4656944110124885,0.09742337139447393,0.21582247141070243,7.637867970500398,1.1877068301343423,NA,1.5296265387581789,6.222985630454094,8.996982674112171,3.6356202397780866,7.208039412283613,NA,-1.2865620048947815,2.534880429192391,-0.813582212298428,-4.263997396028328,2.4341762497771526,-0.0839664384894272,-0.7188411922897813,-0.38708781564879224,0.6596107358630618,-1.4354703216826792,2.215981783798526,-1.6615691663828411,0.9712963662823881,-0.043663108687457264,0.13119121530023747,1.2385664405473982,-4.289616880027644,-0.4829575111529283,1.2006487514767148,2.4668094527580653,-0.15126185795082847,-2.958031102489196,0.2839067166080942,-1.8456590326832183,1.807188978448096,NA,0.6749149842120299,0.01521147860303973,0.14976478881805755
Nicholls,2021,VIC,Non Metropolitan,0,1,-1.4917991606425716,0.27619609529121547,-0.1963563461563993,-0.6150197381185478,-0.09210117474670909,0.11692564882988155,0.7904081131329737,0.20062409395082714,0.08153149642336532,-4.005367925040389,-0.6327473915853001,0.058582233712129075,-0.1617885465261405,0.006085184164812504,0.6555750913001428,0.09514139284873568,0.18131557142938237,1.1851494331270955,0.275579920379378,NA,0.08281186561241516,3.542229518140381,0.19230121259970068,0.12217886584189386,2.375695119902071,NA,-2.312265283524753,1.9279527458173433,-0.46284130280122326,-2.568736405838945,0.3651373688702728,0.6878811151235649,-4.6043657709494585,0.4985330071413152,1.9343814347537815,0.10108590039075693,-2.5119691694374175,0.09299610117333712,5.748249773047547,0.51309874410093,-1.4162578112275899,-2.7216289549033696,1.068882151735366,0.15471062028461313,3.4614677563921283,-1.515905343140202,-0.08756005686522883,-0.7824506183857327,-0.24443621115126835,0.40704683316900514,0.607745695314911,NA,-0.15159753552590427,-0.09462611480828986,-0.10729702476908098
