election_year,DivisionNm,StateAb,ALP,COAL,GRN,Other,Year,Australian_Citizens,Age_Baby_Boomers,Age_Gen_X,Age_Gen_Y,Age_Gen_Z,Age_Silent_Gen,Language_English_Only,Language_Chinese,Language_South_Asian,Language_Arabic,Language_East_Asian,Religion_Anglican_Uniting_Presbyterian,Religion_Buddhism,Religion_Catholic,Religion_Christian_Orthodox,Religion_Hinduism,Religion_Other_Christianity,Religion_No_Religion_Secular,Religion_Islam,Income_1_to_999,Income_1000_to_1999,Income_2000_or_more,Income_Negative,Household_Flat,Household_Other,Household_Owned_outright,Household_Owned_with_a_mortgage,Household_Rented,Household_Semi_detached,Household_Social_or_community,Household_Standalone,Household_Tenure_other_or_not_stated,Education_Bachelor,Education_Diploma_or_Certificate,Education_Graduate_Diploma_or_Certificate,Education_Not_Stated,Education_Postgraduate,Relationship_Child_under_15,Relationship_De_Facto,Relationship_Group_Household,Relationship_Living_Alone,Relationship_Married,Relationship_Non_dependent_Child,Relationship_Other_Relationship,Relationship_Single_Parent,Relationship_Unrelated_in_family_household,Metro_Area,Metro
2010,Hunter,NSW,16.480000853340627,-12.700185742163193,-2.8448080150998436,-1.489365875354586,2011,91.16101945992037,23.877415345482923,21.341031607243508,20.810631133207117,21.719682626855317,8.705360368823436,92.77385235597555,0.29838022165387895,0.25503200543297644,0.08669643244180501,0.18784227029057754,42.626778073320224,0.47270729732855327,25.628830808372847,0.1893720365444663,0.17274777379437956,5.792471377356309,16.10095987047531,0.24069041285995144,59.60374852420307,17.371052243211334,7.623413518299882,7.169605962219599,4.012445450137385,1.0546306772264424,32.762243413609184,36.213027315338614,23.16348795862292,4.881202521415872,4.646840148698884,90.0517213512203,3.2144011637304026,13.168282611463809,60.77892783730195,1.5189274734869844,20.273588852709512,2.022811198224583,22.08510241216815,8.471360363302695,2.0373567240548063,9.133112490085383,37.701208416927166,6.442557427020638,1.7107575545498375,5.04984525420302,0.8164979237624225,Non Metropolitan,No
2016,Kingsford Smith,NSW,13.04549299852009,-4.477790841637031,-0.06867688809453298,-4.762457463720723,2016,70.7933012887812,17.42246280597828,21.705875009929755,31.19077610957909,16.540700643448066,4.854231210068203,55.728010986703595,11.047425558840722,2.479953238410333,1.0561082326502584,2.1116489702802856,10.806807670262694,3.121222611271586,27.301050433282448,5.968345127771504,1.3256683672600773,4.242592771248432,29.052907560736156,2.9901312615981794,40.224983457098745,24.74416988055691,12.147502523210191,12.527822152114483,55.578028698380344,0.9539583698300712,25.374655603510057,24.21206860855855,38.561258779124394,14.99100189517606,7.542482202863468,28.30819703460687,3.6167603637463968,34.34506565998122,30.6769892299462,2.8676403791220437,16.09653682712398,14.518880398905836,15.732736702939082,9.016195464253025,10.445057459574901,10.16602257703651,33.160022373639784,5.718626055120512,3.186336824977118,3.903945896471067,2.337791111563104,Greater Sydney,Yes
2022,Lindsay,NSW,-1.0025043584864726,11.553716251080466,-4.087019157456206,-6.210730040153317,2021,86.29999687537844,16.4710328930908,19.822625378624547,24.77229293429367,21.20563638202618,1.779601918541823,74.5668686330312,1.1789925824007181,6.005148145494578,1.4630769369303174,0.9787649057074379,16.35039831649906,1.1509344471530039,27.5184288744149,1.4621295823838927,3.5281565875678234,7.282475941930781,30.023614043610472,2.7461597733091256,42.72078520391855,30.195237126310694,10.030083563930889,9.169689447122089,10.206331831141096,0.2652210961929053,23.70888176810558,38.58695681472117,30.214122686168594,13.686787126150406,4.586764840042009,75.4738994433087,2.1272090754514887,20.252533348943224,54.316462996611,2.3585494130349827,14.607893683134238,7.429373051592987,21.370881754267124,8.78291524614432,2.2167527938045857,8.328117186794744,34.96913290097575,8.26058266906252,3.0306993995631597,5.648976663302287,1.0776514485230229,Greater Sydney,Yes
2007,Hughes,NSW,-1.540732370702031,6.37458352198685,-2.260370859087941,-1.2588267931613277,2006,91.80196239019769,26.762348927800357,22.857713613977396,23.738215792183045,14.277811498774518,9.79001636535462,82.63896137263245,1.5230953279432191,0.8719459810998081,1.9357843097897214,0.8928212992476856,32.289818301524726,1.2115908050776012,31.832962656667764,0.5724746481248043,1.2942905088039054,11.594016716580889,11.997077408528508,1.3127574329369636,59.91974070072542,22.046612131501774,4.859803467613315,7.508360343674435,9.96607502827081,0.18929150892374255,35.17872068439943,44.79571267023944,15.330153891538425,8.304243079797434,2.372289689758592,81.54039038300802,2.3231230640641134,15.386013187269612,11.97757125798245,1.6977311666060952,10.238305383936451,3.2448990187425366,22.25217156183459,4.6532260790211915,1.2142157028424645,5.386656301754149,44.41308682867476,8.43275763004022,1.6265589617061547,3.5285767397843646,0.523033764829148,Greater Sydney,Yes
2010,Hume,NSW,-5.7998886108441425,9.995063488844082,-4.250817857530678,-0.6293560541235741,2011,91.4804619840591,26.69560655172166,20.157540301425193,17.039794737636463,20.738973256958868,11.272899762108395,91.77033699144046,0.24004082131332513,0.14804912931300893,0.26160137412589923,0.2141681579382362,38.433286375528276,0.5606186930397034,30.49190696604663,0.6439927550815053,0.10996751286548026,5.7355604749446565,15.279734352988529,0.30618405542937643,62.46093077612995,18.081916271822145,4.408367382067566,7.0945180782924595,2.6938420823952285,1.3903701070426986,38.405024291977725,36.34119366433622,18.611999842003396,3.1994312122289372,3.1856065094600465,92.71635659833314,3.456175692222617,16.066066066066067,55.47536172536172,2.666871416871417,19.517813267813267,3.576303576303576,20.985949368070695,7.251088128728926,1.5594572157869828,9.736909481655042,40.98191495139304,5.967057436128202,1.7076444437548006,4.298205460427804,0.5865421169825666,Greater Sydney,Yes
2016,Hunter,NSW,17.06271063623776,-15.660528224134794,-3.0935621197521357,5.4279475127169725,2016,89.98539643264822,23.611571723768463,19.934181994438635,19.202020459705604,20.66315467231307,6.6009336972881965,90.09827116720128,0.28186798120029843,0.3730605633533362,0.06440874683536231,0.2372282556708394,33.15519957145864,0.6090133982947625,20.80530064855144,0.27995485010617877,0.27294003609440665,8.554246832173764,25.85022734374502,0.2314888623884804,56.000063425617604,19.316271842197065,6.790505185044239,8.125614435670567,1.9684401820897133,1.0597909207046081,33.63081850405744,36.01489824927578,21.913741295859797,7.683034348741386,4.104215772711734,88.94506720405923,3.6759810713064756,14.0471169825022,61.25766314290103,1.8433437137789943,18.45298775293608,3.1560278735913085,19.975321798143526,8.304355141759444,2.0289408003589555,9.355983061779634,37.90487674920777,6.872037914691943,1.953223590117502,5.305813399141871,0.8924815614571356,Non Metropolitan,No
2022,Kingsford Smith,NSW,15.819204294795234,-7.003129589498748,4.288905636504547,NA,2021,74.54782075871047,16.045467287408,19.968339993294233,29.935745576668335,18.56122858414911,2.1299049650145934,59.66022210268336,7.96665412523756,2.556096633758838,0.8503114345068652,2.2576356712913346,8.884572739087892,3.2764747647675656,27.395657651776453,6.0357271249643745,1.5571637323580796,4.214180845742816,34.19445458784362,2.714730559165745,35.78383619752468,28.237428924407677,19.40458002328826,9.045033934045088,58.453899075402376,0.7123434856181633,24.62405935840887,24.62981566940377,40.97030634603073,13.897100138371822,6.383748893337722,26.729430104791444,2.575949170215176,36.38565110460884,30.854048839038267,3.167492748296821,11.251473234680114,17.088540160856148,15.33253323667555,12.318470916939711,7.578264798783444,11.323595600579186,32.84598655050194,5.558385197255993,2.7536245024061303,3.9250000735009425,1.7552795359755768,Greater Sydney,Yes
2007,Greenway,NSW,-5.138120222715557,8.439111554742588,-2.0284628615365774,-0.31490195756611516,2006,84.56383942046483,24.30202998658534,25.513055207630792,23.629814640509313,16.221364145056217,8.406768104234141,64.55111993613781,2.736950848924338,3.702933501485869,3.043516176855324,1.125638118748784,23.238529648510866,1.792997048564529,34.475449423128524,0.9377515427958143,3.9166890260262948,11.468339146766837,10.102629460692246,3.8033270727126376,64.11065338686969,16.915228311692825,1.9980532234795154,8.91606264448732,4.386598682988255,0.9165410895278988,26.98429081601057,43.186838139669305,20.999938071548005,11.242078318848957,5.775860289412299,83.45478190863489,3.053072683359825,16.694416694416695,10.54747721414388,1.2111345444678778,15.268681935348601,3.62353695687029,23.007227141775143,5.0554599958944735,1.7427250783943145,5.897800712096437,40.936343108732736,8.504809836274447,2.592852137351086,4.7079059692934955,0.78358922087023,Greater Sydney,Yes
2010,Hughes,NSW,-0.4209869426907886,6.276344714753257,-5.491081997631742,-1.4292190968187088,2011,89.38616488922453,24.499273081428996,22.620576735782745,21.494911570002966,20.988891555041146,7.501376205061612,72.89943250797594,2.468307970298427,2.7908749541206697,3.980914198593975,2.1118608656370874,27.12894346813466,2.142000141153222,31.751711482814596,6.272849177782483,2.2648034441386127,7.717552403133602,12.320558966758416,3.3114545839508787,54.147819712870756,24.09579318112742,6.682101800368298,8.840934689718056,11.63067726494986,0.31404994477052695,33.921725758593055,42.520196660241275,16.558012605315025,10.344155422234737,4.663100214420307,77.71111736804488,2.3369647614303353,21.985159130528686,53.74030021135126,2.3279492756976907,12.67644744758643,5.354746147081964,21.254747188919502,4.304862610767741,1.2554918460049147,5.715987787623799,43.71956214163378,8.730359669372254,1.923449251619629,4.1246555960979965,0.603916896269268,Greater Sydney,Yes
2016,Hume,NSW,-3.254038450411194,12.28491938317081,-3.6364685846126052,-1.657844543079202,2016,90.02668578484088,22.83212628532358,21.39827273753178,18.963376990633485,22.202160073816906,5.727448338123909,87.95355876847094,0.45140133561689305,0.5104818045432217,0.4693246239428579,0.2529175130441709,31.58216168133721,0.6273150914087705,30.098511703243453,0.9983935423055987,0.27482375433146133,5.668405889459779,21.19793948566801,0.6020897226537087,50.672913046033464,24.956972185141343,7.159828392480837,8.22272036537961,1.4585323145495066,0.9531200254695956,32.843839541547275,43.67239732569246,16.829831263928686,5.3028494110156,2.1987424387137855,91.94524036930913,3.2851798790194207,16.470322024070487,59.24988332461214,2.3589642054052526,16.187472598961943,4.275269060515635,21.243163033426764,7.197184209205801,1.3942752277794106,7.248797482419229,40.93506046638327,7.5914522684750425,1.9605875310934129,4.2853353787482344,0.8207944142968767,Greater Sydney,Yes
2022,Hunter,NSW,6.173083295814578,-7.462026134752424,-3.60770518294213,2.6684519714040356,2021,90.99181434876662,21.905171425295265,19.243779383098268,20.26258456599014,19.35844513243894,2.9692695791767,89.91290392371047,0.326957226474554,0.7886955574777874,0.08890942123430855,0.4738011738034765,24.301673678588596,0.6597436223807208,18.13341029586863,0.2737046514730456,0.4514133659566685,8.02950815999661,39.277868862328546,0.33802636916766926,50.16722652955969,23.873946595646206,10.23457945917992,7.73858975011681,2.0314085661665837,0.7528256414071697,33.457902096407345,37.29954216513334,21.179213087325735,7.622921961712888,3.569185988313571,89.2613864396996,3.543269812894538,15.685513347436252,62.35383811660159,2.2561668704300595,14.646600228944166,4.0838822258668195,19.311217599698846,10.043800316587285,2.0886949851647203,9.637211721687072,36.74434032509228,7.253632771550331,2.3259665598080965,5.374529116532776,1.224950448196323,Non Metropolitan,No
2007,Grayndler,NSW,11.954112703032592,-21.035910850323155,10.839545121879606,-1.371103538712799,2006,79.08662446141642,24.765603974367366,31.794211563779722,17.889017391494097,10.599282809988289,11.176089786952378,58.821104699093155,5.8019256793541665,0.6680769649551245,2.4677627587923285,3.402603866913469,13.914788058819413,4.711618466993786,27.94933007768455,0.197516271763727,1.3227369223232268,10.869615931942425,23.39867959594703,2.230223100072319,55.80721885326265,20.633465267438904,5.9288645194088385,6.63876683975453,35.35679432793611,1.3184361992392106,25.584035370735496,28.489773157276293,38.62101929856008,25.26936328692916,3.9831909342574336,38.05540618589552,3.3219812391706998,27.334367001378222,10.764914353219138,3.3692656034652493,18.080576885213624,9.339929119905493,14.696964385866517,10.788523555804824,8.158651149747616,13.768052439708356,32.315619742007854,5.931015143017387,3.0435011217049914,4.421095064498037,1.4187815479528885,Greater Sydney,Yes
2010,Greenway,NSW,4.168552672368321,-1.8649778651047342,-5.642983783202428,4.005278083301514,2011,83.82843403397192,20.431955951350023,26.052424097506755,22.174255838901885,22.897413692822706,6.208558983572232,59.97815239030949,3.0450913979884686,13.33285932207772,2.5816376657962095,1.238462135119063,19.936535018839148,2.1779733860700183,31.24648583671016,2.452643620218314,8.83404101311308,9.7705049408328,11.32352275885246,4.458705753856694,53.894013080664095,24.03068925037733,5.211303035384874,10.295991950360557,7.368928722142957,0.5164479633462613,24.934188051363464,46.618973936458815,20.756385266161605,12.020979442557724,5.01376524727207,80.09364387195306,2.6766874987440468,26.480609858219513,45.71482198030666,2.2508734948456586,12.90173543934625,8.991943634316074,23.090280123778765,4.430901449941219,1.810737402537735,5.545721119414078,42.46584597921706,7.475372620028918,2.8492088158588165,4.237666040565923,1.0546869721497778,Greater Sydney,Yes
2016,Hughes,NSW,-3.1960799685724197,10.511434401220988,-2.9529497926835857,-0.6258368348971821,2016,90.77748286543913,21.780593115206287,22.803540117403266,19.481041520836655,21.84088877183985,5.141764098441323,80.3837864434265,2.3506746408499017,1.972986645784101,1.776866090548098,1.0013929410460225,24.720892036673852,1.318789458000402,29.19493551583864,4.011115808148358,1.6230188705396433,7.638999577266648,23.009861468201443,1.5634203979237555,45.688200159161866,28.58179782945194,11.552352884590158,8.711925771104251,11.121930567315834,0.4911092294665538,35.37891617273497,44.54911092294665,14.767146486028789,11.34419983065199,2.1507197290431836,76.72734970364098,2.0829805249788316,25.803335782113024,52.56713737654069,3.1575653688134304,8.789758659157076,7.950371398253203,21.107907140138764,5.474399133464094,1.1680669808835153,5.565883076202465,44.01329078720103,8.29649579905735,1.8670043034046664,3.732544863725519,0.6652712315934307,Greater Sydney,Yes
2022,Hume,NSW,-12.98628984786669,7.561993320717981,-7.4171861067113305,11.722684165439293,2021,91.268476965309,20.24649319557916,20.26566876242054,20.417911141585414,20.351087196532127,2.4556347112624497,87.27587920908316,0.5320075168168922,1.1127914936702392,0.6281591198463162,0.4612272223782164,23.769267530154,0.7349337161243842,28.267867697224062,1.2781134819503015,0.6189699559842039,5.464166379066534,31.109849950687078,1.0765143309763676,44.316177481394305,28.887862435314325,11.733792925189935,8.366912427235082,1.4173172040167425,0.6097885960035366,32.10415175022578,43.7277625652468,17.959948115102872,5.218782797832751,2.078846152929031,92.38411915426052,3.167689990498854,18.317596353359587,59.74253453058177,2.771569937017406,12.555179548998673,5.6020866367058515,21.013251643255455,9.026307696942377,1.3980215886037837,7.504927601842887,39.513064935945216,7.759793058321138,2.1133401869347965,4.286721781256378,0.9264261629869022,Greater Sydney,Yes
2007,Gilmore,NSW,-5.460862875609465,7.672963752319845,0.13671409542796464,-0.5463526343316221,2006,90.74016214171778,26.956752227371446,15.829300408707697,18.619286215093112,11.610547736717,20.77739966140534,92.20176694141455,0.33808795222348353,0.04030732277116957,0.05593669282529655,0.09871181086817038,41.313106396974185,0.6191415885545141,23.232198651537576,0.01315573096530176,0.09620128268376912,7.674724551882914,16.345173491202104,0.10771254727840816,73.51724278493397,10.73801565302462,1.71816403065384,6.630115767161259,4.6502039753493625,1.833608193733183,44.605502994531726,28.55003905910945,19.10207447270202,4.086016838816075,4.020918323062234,89.43017099210138,3.7214651505945664,10.34342392705464,9.546940935426532,1.7964965603332474,14.777676766306191,1.99867026689643,19.584429902553524,6.045949214026602,1.7337648481399814,10.467494131872822,42.96091471655168,5.125720179244612,1.3932356497617184,4.674941318728217,0.5672522939042606,Non Metropolitan,No
2010,Grayndler,NSW,8.22871191713267,-19.329255384098627,13.975357433634183,-2.5953575254041237,2011,79.95434131227961,21.058672516486578,29.352558051086316,23.007857865676,15.412826590419789,7.5787314674581125,60.023376552773925,6.228084481774443,3.303297181222648,2.1188398706134985,3.972654869662127,11.912364130434783,4.654211956521739,27.21875,6.171875,2.6372282608695654,4.083559782608695,30.01766304347826,2.199048913043478,49.00431370343891,24.715833781840676,10.121538795215566,7.465839806566147,37.72469878455378,1.199569566214476,25.77839716337079,30.67546351015224,36.67154726833313,22.633055197840775,3.8915447986310796,38.44267645139097,2.9830472595127633,34.81117585391423,30.544652217373283,4.073920569519955,14.523246458785382,13.438330448350683,15.77115542609605,10.927627156621107,8.344910000746882,11.913511091194264,32.9076107252222,5.349914108596609,3.1294346105011575,4.195981776084846,1.7678691463141385,Greater Sydney,Yes
2016,Greenway,NSW,14.437147344490988,-7.446202207421649,-6.449694349158333,-1.0206986534491396,2016,80.76565825210756,17.448417388441026,24.054637290009232,23.83942799014506,22.658128855098283,3.4715729683007286,54.15515396644366,3.5555137505731853,17.95804870019165,2.2133778556395574,1.2463110369072674,14.246158187440477,2.044067677040834,26.74160209756499,1.9435397584978424,12.156823552927067,9.466085054849444,15.51657240949548,4.863552456761237,45.56527028054436,27.104843001596596,8.074963886565802,12.479282293013,6.418211507059841,0.520603208145231,23.3387762943041,45.5940831812506,23.269618672557872,21.358178849294017,4.268562097781193,71.52434924598982,2.741331284218615,29.714858047284597,42.567266791967555,2.4446038183796617,11.87926600059353,11.99302601642101,22.984708266957583,4.198873110228167,1.9729868777467163,4.728846022723751,42.59184647521524,7.56218658765628,3.098636946860143,4.01291770233498,1.2136689621828685,Greater Sydney,Yes
