Year,StateAb,DivisionNm,PartyAb,OrdinaryVotes,Percentage
2007,NSW,Shortland,GRN,5808,8.35106688905504
2007,NSW,Shortland,Other,1344,1.9324782883763731
2007,NSW,Shortland,Other Right,1323,1.9022833151204923
2007,NSW,Sydney,ALP,28154,49.462403373155304
2007,NSW,Sydney,COAL,14775,25.957484188334504
2007,NSW,Sydney,GRN,12061,21.189388615600844
2007,NSW,Sydney,Other,1930,3.3907238229093464
2007,NSW,Throsby,ALP,43979,65.47222056809385
2007,NSW,Throsby,COAL,14908,22.193771214196392
2007,NSW,Throsby,GRN,6104,9.087119633180492
2007,NSW,Throsby,Other,2181,3.2468885845292683
2007,NSW,Warringah,ALP,18560,27.680009544830877
2007,NSW,Warringah,COAL,36551,54.511423969456544
2007,NSW,Warringah,GRN,8365,12.475392232893874
2007,NSW,Warringah,Other,3234,4.823122352800811
2007,NSW,Warringah,Other Right,342,0.5100519000178966
2007,NSW,Watson,ALP,41440,62.694786529093165
2007,NSW,Watson,COAL,16785,25.394111773427337
2007,NSW,Watson,GRN,4356,6.590214529940392
2007,NSW,Watson,Other,1607,2.4312384640987625
2007,NSW,Watson,Other Right,1606,2.429725559018427
2007,NSW,Wentworth,ALP,20148,30.599134330624953
2007,NSW,Wentworth,COAL,32868,49.91722985799985
2007,NSW,Wentworth,GRN,10104,15.345128711367606
2007,NSW,Wentworth,Other,2441,3.7071911306857013
2007,NSW,Wentworth,Other Right,284,0.4313159693218923
2007,NSW,Werriwa,ALP,39118,59.16570875431061
2007,NSW,Werriwa,COAL,19830,29.992740032669854
2007,NSW,Werriwa,GRN,2411,3.646621090205094
2007,NSW,Werriwa,Other,3163,4.7840159719281266
2007,NSW,Werriwa,Other Right,1594,2.410914150886321
2007,NT,Lingiari,ALP,20222,55.97940427416676
2007,NT,Lingiari,COAL,11961,33.110951168198426
2007,NT,Lingiari,GRN,2411,6.674233196766693
2007,NT,Lingiari,Other,1530,4.235411360868121
2007,NT,Solomon,ALP,17602,42.8752374920836
2007,NT,Solomon,COAL,18963,46.190383397476495
2007,NT,Solomon,GRN,3698,9.007648462999951
2007,NT,Solomon,Other,539,1.3129049544502363
2007,NT,Solomon,Other Right,252,0.6138256929897209
2007,QLD,Blair,ALP,35036,49.23898531375167
2007,QLD,Blair,COAL,29881,41.99423793127679
2007,QLD,Blair,GRN,2705,3.801559974703113
2007,QLD,Blair,Other,1942,2.729253039139906
2007,QLD,Blair,Other Right,1591,2.235963741128522
2007,QLD,Bonner,ALP,33333,49.384417085203786
2007,QLD,Bonner,COAL,28007,41.49369601611924
2007,QLD,Bonner,GRN,3275,4.852067499296265
2007,QLD,Bonner,Other,1425,2.111204942441886
2007,QLD,Bonner,Other Right,1457,2.158614456938827
2007,QLD,Bowman,ALP,30125,44.379134072862804
