DivisionNm,Year,cluster,Metro_Area
Capricornia,2007,1,Non Metropolitan
Swan,2007,0,Greater Perth
Stirling,2007,2,Greater Perth
O'Connor,2007,1,Non Metropolitan
Ryan,2010,0,Greater Brisbane
Hasluck,2007,2,Greater Perth
Tangney,2010,0,Greater Perth
Curtin,2007,0,Greater Perth
Perth,2016,0,Greater Perth
O'Connor,2010,1,Non Metropolitan
Wills,2007,0,Greater Melbourne
Fremantle,2010,2,Greater Perth
Melbourne Ports,2007,0,Greater Melbourne
Maribyrnong,2007,0,Greater Melbourne
Wannon,2010,1,Non Metropolitan
Mallee,2007,1,Non Metropolitan
Murray,2010,1,Non Metropolitan
Gellibrand,2007,0,Greater Melbourne
Hotham,2010,2,Greater Melbourne
Deakin,2007,2,Greater Melbourne
Hotham,2016,2,Greater Melbourne
Corangamite,2007,1,Non Metropolitan
Chisholm,2007,0,Greater Melbourne
Gellibrand,2010,0,Greater Melbourne
Flinders,2010,2,Greater Melbourne
Corio,2016,1,Non Metropolitan
Aston,2010,2,Greater Melbourne
Bass,2010,1,Non Metropolitan
Sturt,2010,2,Greater Adelaide
Kingston,2007,2,Greater Adelaide
Grey,2007,1,Non Metropolitan
Oxley,2007,0,Greater Brisbane
McPherson,2007,1,Non Metropolitan
Moreton,2010,0,Greater Brisbane
Leichhardt,2007,0,Non Metropolitan
Lilley,2010,2,Greater Brisbane
Herbert,2007,1,Non Metropolitan
Lingiari,2007,0,Non Metropolitan
Watson,2007,0,Greater Sydney
Throsby,2007,1,Non Metropolitan
Shortland,2007,1,Non Metropolitan
Robertson,2007,2,Greater Sydney
Riverina,2007,1,Non Metropolitan
Reid,2007,0,Greater Sydney
Parkes,2016,1,Non Metropolitan
Newcastle,2007,1,Non Metropolitan
Greenway,2007,2,Greater Sydney
Hughes,2010,0,Greater Sydney
Cowper,2007,1,Non Metropolitan
Chifley,2007,0,Greater Sydney
Chifley,2010,2,Greater Sydney
Chifley,2016,2,Greater Sydney
Sturt,2016,2,Greater Adelaide
Oxley,2016,2,Greater Brisbane
Moreton,2016,0,Greater Brisbane
Page,2016,1,Non Metropolitan
Casey,2010,2,Greater Melbourne
Isaacs,2007,2,Greater Melbourne
Isaacs,2010,2,Greater Melbourne
Isaacs,2016,2,Greater Melbourne
Casey,2007,2,Greater Melbourne
Casey,2016,2,Greater Melbourne
Warringah,2007,0,Greater Sydney
Whitlam,2016,1,Non Metropolitan
Sydney,2010,0,Greater Sydney
Warringah,2016,0,Greater Sydney
Sydney,2016,0,Greater Sydney
Lindsay,2007,2,Greater Sydney
Lindsay,2010,0,Greater Sydney
Cook,2007,0,Greater Sydney
Cook,2010,0,Greater Sydney
Cook,2016,0,Greater Sydney
Blaxland,2007,0,Greater Sydney
Blaxland,2016,0,Greater Sydney
Blaxland,2010,0,Greater Sydney
Bennelong,2010,0,Greater Sydney
Sydney,2007,0,Greater Sydney
Warringah,2010,0,Greater Sydney
Lindsay,2016,0,Greater Sydney
Fowler,2007,0,Greater Sydney
Fowler,2016,0,Greater Sydney
Bennelong,2007,0,Greater Sydney
Bennelong,2016,0,Greater Sydney
Richmond,2016,1,Non Metropolitan
Richmond,2010,1,Non Metropolitan
Moncrieff,2016,0,Non Metropolitan
Melbourne,2010,0,Greater Melbourne
Lalor,2010,2,Greater Melbourne
Port Adelaide,2010,0,Greater Adelaide
Moncrieff,2007,0,Non Metropolitan
Richmond,2007,1,Non Metropolitan
Forrest,2010,1,Non Metropolitan
Petrie,2007,2,Greater Brisbane
Lilley,2016,2,Greater Brisbane
Dunkley,2007,2,Greater Melbourne
Goldstein,2010,0,Greater Melbourne
Bendigo,2007,1,Non Metropolitan
Braddon,2007,1,Non Metropolitan
Bendigo,2016,1,Non Metropolitan
Aston,2016,2,Greater Melbourne
Oxley,2010,2,Greater Brisbane
Page,2007,1,Non Metropolitan
Dunkley,2010,2,Greater Melbourne
Hotham,2007,2,Greater Melbourne
Lilley,2007,0,Greater Brisbane
Aston,2007,2,Greater Melbourne
Flynn,2007,1,Non Metropolitan
Indi,2007,1,Non Metropolitan
Indi,2016,1,Non Metropolitan
Macquarie,2007,2,Greater Sydney
Macquarie,2010,2,Greater Sydney
Macquarie,2016,2,Greater Sydney
Indi,2010,1,Non Metropolitan
Fowler,2010,0,Greater Sydney
